RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Denver Broncos (DEN),3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,17.0,17.0,30.0%,8.0
2,Dallas Cowboys (DAL),2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,15.0,99.3%,8.0
3,Las Vegas Raiders (LV),1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,13.0,13.0,19.5%,8.0
4,Detroit Lions (DET),6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,55.2%,8.0
5,New York Giants (NYG),4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,15.2%,8.0
6,Jacksonville Jaguars (JAC),3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,34.5%,8.0
7,Pittsburgh Steelers (PIT),3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,86.2%,8.0
8,Kansas City Chiefs (KC),6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,78.3%,8.0
9,Seattle Seahawks (SEA),3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,36.3%,8.0
10,Minnesota Vikings (MIN),4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,43.8%,8.0
11,Cincinnati Bengals (CIN),2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,23.4%,8.0
12,Los Angeles Chargers (LAC),1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,16.0%,8.0
13,Carolina Panthers (CAR),2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,6.5%,8.0
14,Tennessee Titans (TEN),6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,19.0%,8.0
15,New York Jets (NYJ),4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,68.8%,8.0
16,Houston Texans (HOU),6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,10.4%,8.0
17,Green Bay Packers (GB),3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,20.6%,8.0
18,Buffalo Bills (BUF),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,92.6%,8.0
19,Baltimore Ravens (BAL),2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,90.1%,8.0
20,Miami Dolphins (MIA),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,83.0%,8.0
21,New England Patriots (NE),2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,40.9%,8.0
22,Cleveland Browns (CLE),1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,90.5%,8.0
23,San Francisco 49ers (SF),3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,94.8%,8.0
24,Tampa Bay Buccaneers (TB),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,22.0%,8.0
25,New Orleans Saints (NO),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,57.7%,8.0
26,Arizona Cardinals (ARI),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0%,8.0
27,Atlanta Falcons (ATL),2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,13.1%,8.0
28,Philadelphia Eagles (PHI),1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,67.2%,8.0
29,Washington Commanders (WAS),2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,43.3%,8.0
30,Los Angeles Rams (LAR),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.1%,8.0
31,Chicago Bears (CHI),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.3%,8.0
32,Indianapolis Colts (IND),1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,14.1%,8.0
