RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Tyler Bass (BUF),4.0,4.0,100.0,50.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,17.0,17.0,85.5%,11.0
2,Wil Lutz (DEN),5.0,5.0,100.0,52.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,17.0,17.0,7.1%,11.0
3,Cairo Santos (CHI),4.0,4.0,100.0,53.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,17.0,17.0,6.4%,11.0
4,Jason Myers (SEA),3.0,4.0,75.0,54.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15.0,15.0,59.1%,11.0
5,Justin Tucker (BAL),2.0,2.0,100.0,47.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,11.0,11.0,98.9%,11.0
6,Jason Sanders (MIA),2.0,3.0,66.7,51.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,11.0,35.4%,11.0
7,Evan McPherson (CIN),2.0,3.0,66.7,50.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,84.9%,11.0
8,Brandon McManus (JAC),2.0,2.0,100.0,30.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,42.5%,11.0
9,Brandon Aubrey (DAL),2.0,2.0,100.0,30.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,9.0,9.0,88.8%,11.0
10,Jake Moody (SF),2.0,2.0,100.0,37.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,43.1%,11.0
11,Daniel Carlson (LV),2.0,2.0,100.0,47.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,55.0%,11.0
12,Cameron Dicker (LAC),2.0,2.0,100.0,26.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,66.4%,11.0
13,Joey Slye (WAS),2.0,2.0,100.0,42.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,8.0,1.2%,11.0
14,Greg Joseph (MIN),2.0,2.0,100.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,12.8%,11.0
15,Randy Bullock (NYG),1.0,1.0,100.0,36.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,0.1%,11.0
16,Dustin Hopkins (CLE),2.0,2.0,100.0,34.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,64.1%,11.0
17,Matt Prater (ARI),1.0,1.0,100.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,13.2%,11.0
18,Harrison Butker (KC),1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,89.3%,11.0
19,Lucas Havrisik (LAR),1.0,1.0,100.0,22.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1.2%,11.0
20,Eddy Pineiro (CAR),1.0,1.0,100.0,42.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,6.0%,11.0
21,Anders Carlson (GB),1.0,2.0,50.0,28.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,5.0,4.2%,11.0
22,Chris Boswell (PIT),1.0,1.0,100.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,11.2%,11.0
23,Matt Ammendola (HOU),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,9.2%,11.0
24,Jake Elliott (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,79.7%,11.0
25,Riley Patterson (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,54.8%,11.0
26,Nick Folk (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,28.1%,11.0
27,Chase McLaughlin (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.3%,11.0
28,Matthew Wright (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
29,Younghoe Koo (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0%,11.0
30,Ka'imi Fairbairn (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8%,11.0
31,Michael Badgley (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
32,Matt Gay (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9%,11.0
33,Blake Grupe (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8%,11.0
34,Chad Ryland (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,11.0
35,Piotr Czech (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
36,Parker Douglass (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
37,Steven Weatherford (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
38,Ricky Schmit (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
39,Zac Derr (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
40,Jason Reda (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
41,Graham Gano (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0%,11.0
42,Garrett Rivas (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
43,Carlos Martinez (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
44,Andrew Wellock (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
45,Mark Hickok (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
46,MacKenzie Hoambrecker (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
47,Andrew Jacas (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
48,Garrett Lindholm (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
49,Greg Zuerlein (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.4%,11.0
50,Saverio Rocca (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
51,Kai Forbath (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0%,11.0
52,Clint Stitser (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
53,Connor Hughes (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
